Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
20,0,"{'MRR': '0.62996', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.96656', 'Hits@100': '0.96656', 'Hits@200': '0.96656'}","{'MRR': '0.66387', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.98734', 'Hits@100': '0.98734', 'Hits@200': '0.98734'}",62
20,1,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
20,2,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
20,3,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
20,4,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
20,5,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
20,6,"{'MRR': '0.63021', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.97659', 'Hits@100': '0.97659', 'Hits@200': '0.97659'}","{'MRR': '0.66419', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '1.00000', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,0,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66412', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,1,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,2,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,3,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,4,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,5,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
50,6,"{'MRR': '0.63098', 'Hits@1': '0.50167', 'Hits@5': '0.79599', 'Hits@10': '0.85619', 'Hits@20': '0.93645', 'Hits@50': '0.99331', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}","{'MRR': '0.66411', 'Hits@1': '0.54008', 'Hits@5': '0.82278', 'Hits@10': '0.87764', 'Hits@20': '0.94937', 'Hits@50': '0.99156', 'Hits@100': '1.00000', 'Hits@200': '1.00000'}",62
