Top_K,Level,Metrics_All,Metrics_Filtered,Excluded_Zero_Arc
3,5,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
3,6,"{'MRR': '0.61435', 'Hits@1': '0.49563', 'Hits@5': '0.77729', 'Hits@10': '0.84498', 'Hits@20': '0.87773', 'Hits@50': '0.90175', 'Hits@100': '0.92140', 'Hits@200': '0.92576'}","{'MRR': '0.61585', 'Hits@1': '0.48056', 'Hits@5': '0.80556', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,0,"{'MRR': '0.61466', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.84934', 'Hits@20': '0.86900', 'Hits@50': '0.88210', 'Hits@100': '0.88428', 'Hits@200': '0.88428'}","{'MRR': '0.60930', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.86667', 'Hits@20': '0.89167', 'Hits@50': '0.90833', 'Hits@100': '0.91111', 'Hits@200': '0.91111'}",98
5,1,"{'MRR': '0.61929', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94323', 'Hits@200': '0.94978'}","{'MRR': '0.61519', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98611', 'Hits@200': '0.99444'}",98
5,2,"{'MRR': '0.61931', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,3,"{'MRR': '0.61930', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,4,"{'MRR': '0.61930', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,5,"{'MRR': '0.61930', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
5,6,"{'MRR': '0.61930', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.86900', 'Hits@20': '0.90175', 'Hits@50': '0.92576', 'Hits@100': '0.94541', 'Hits@200': '0.94978'}","{'MRR': '0.61521', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.89167', 'Hits@20': '0.93333', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
10,0,"{'MRR': '0.62067', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.88428', 'Hits@20': '0.91485', 'Hits@50': '0.93231', 'Hits@100': '0.93668', 'Hits@200': '0.93886'}","{'MRR': '0.61402', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88889', 'Hits@20': '0.92778', 'Hits@50': '0.95000', 'Hits@100': '0.95556', 'Hits@200': '0.95833'}",98
10,1,"{'MRR': '0.62128', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.88428', 'Hits@20': '0.91703', 'Hits@50': '0.94323', 'Hits@100': '0.96288', 'Hits@200': '0.96943'}","{'MRR': '0.61480', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88889', 'Hits@20': '0.93056', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99722'}",98
10,2,"{'MRR': '0.62127', 'Hits@1': '0.49563', 'Hits@5': '0.79258', 'Hits@10': '0.88428', 'Hits@20': '0.91703', 'Hits@50': '0.94323', 'Hits@100': '0.96288', 'Hits@200': '0.96725'}","{'MRR': '0.61479', 'Hits@1': '0.48056', 'Hits@5': '0.79444', 'Hits@10': '0.88889', 'Hits@20': '0.93056', 'Hits@50': '0.96389', 'Hits@100': '0.98889', 'Hits@200': '0.99444'}",98
